ID,Nombre,Email,Contraseña,Tipo
1,Admin1,admin1@example.com,admin123,ADMINISTRADOR
2,Admin2,admin2@example.com,admin123,ADMINISTRADOR
3,Admin3,admin3@example.com,admin123,ADMINISTRADOR
4,Profesor1,profesor1@example.com,Profesor123,PROFESOR
5,Profesor2,profesor2@example.com,profesor123,PROFESOR
6,Profesor3,profesor3@example.com,profesor123,PROFESOR
7,Usuario1,usuario1@example.com,usuario123,PROFESOR
8,Usuario2,usuario2@example.com,usuario123,USUARIO
9,Usuario3,usuario3@example.com,Usuario123,USUARIO
10,Usuario4,usuario4@example.com,usuario123,USUARIO
11,Profe4,profe4@gmail.com,Profe123,PROFESOR
12,Usuario6,usuario6@example.com,usuario123,USUARIO
13,Usuario7,usuario7@example.com,usuario123,USUARIO
14,Usuario9,usuario9@example.com,usuario123,PROFESOR
15,Alfonsito,alfo@gmail.com,Alfi123,USUARIO
16,Juan,juan@example.com,Juan123,USUARIO
17,Jose,jose@uem.es,Jose123,USUARIO
18,Lucas,lucas@uem.com,Lucas123,USUARIO
19,Pepe,pepe@uem.com,Pepe123,USUARIO
